send_date,send_time,medium,segment,category,purpose,offer_type,offer_detail,title,content,target_count,ctr,cvr
2025. 6. 9,18:30,문자,외부고객,등급/혜택,VIP체험_5월,안내,단순 안내,외부고객 vip 체험 안내,"(광고)[VIP] Welcome! 현대홈쇼핑 x 현대카드 4월 시크릿 쿠폰 이벤트를 참여해주셔서 감사합니다. 이번 달 우수고객으로 선정된 {{custNm||고객}}님께 VIP등급 체험 안내 드립니다. ■ VIP등급 체험 안내- 기간 : 25년 5월~6월 (2개월)- 등급 : 다이아몬드*체험 종료 이후 구매이력에 따라 등급 자동 조정■ 우수고객 라운지 바로가기→go.hmall.com/VIP_Lounge ■ 등급 혜택 확인하기→go.hmall.com/Family_Zone ■ 꼭 알아두세요- H.Point 통합멤버십 회원이 아닌 고객님은 H.Point 혜택 이용이 어려울 수 있습니다.우수고객 라운지에서는 우수고객을 위한 특별한 컨텐츠를 만날 수 있으니, 많은 관심과 사랑 부탁드립니다.무료수신거부 : 080-355-0000",388,5.93%,3.61%
2025. 6. 9,18:30,푸시,외부고객,등급/혜택,VIP체험_5월,안내,단순 안내,🎉 {{custNm||고객}}님 VIP 선정을 축하드립니다,(광고) 현대홈쇼핑x현대카드 시크릿쿠폰 이벤트 참여 감사드리며 우수고객 「{{custGrd||회원등급}} 등급」 혜택 안내 드립니다. - 기간 : 25년 7월까지(2개월) - 등급 : 다이아몬드(수신거부:앱설정),384,6.51%,4.17%
2025. 6. 9,19:30,푸시,골드 전체,식품,등급쿠폰,안내,"3,000원","[긴급배송🚀] 3,OOO원 할인쿠폰 도착 성공","(광고) {{custNm||고객}}님, 시간이 얼마 없어요⏰카드 할인과 중복사용 가능한 쿠폰 지금 바로 클릭해서 확인 해보세요 💌추가 할인 쿠폰을 원하시면 🚀 혜택>쿠폰 할인 확인(수신거부:앱설정)","229,619",1.15%,1.40%
2025. 6. 12,17:30,푸시,골드 하위,패션의류,연관카테고리,안내,단순 안내,🔥 직접 입어보니 시원하고 예쁘고 좀 부티(?)납니다,(광고) 데님이 통도 넓고 색상이 밝은 그레이라 시원해 보입니다.나이 들어 짧은 팬츠 입기 불편했는데 버뮤다 팬츠 기장이 무릎 아래여서 부담스럽지 않고 정말 입기 좋아요!(수신거부:앱설정),"4,760",2.58%,32.69%
2025. 6. 12,18:30,푸시,외부고객,기타,실속마켓,안내,5% ,⏰ 떴다 타임 세일!,(광고) 현대카드 있으면 오늘은 🔻5% 추가 할인!{{custNm||고객}}님께 놓칠 수 없는 득템 찬스 드려요!지금 바로 확인 해보기 👉(수신거부:앱설정),"3,790",2.24%,2.74%
2025. 6. 12,19:30,푸시,eTV 1회성,패션의류,연관카테고리,안내,단순 안내,🔥 엄마한테 샌드베이지로 선물했어요,(광고)엄마가 카멜 컬러를 잘 입고 다니셔서 여름에 시원해 보이시라고 선물했어요. 고비 실크 캐시미어답게 가볍다고 해요. 여리여리한 기분 내시라고 M으로 했더니 드레이프성이 더 드러나서 예쁘네요.,"58,160",1.44%,2.61%
2025. 6. 12,20:30,푸시,골드 상위,등급/혜택,재구매(M+2),안내,40% ,"🔔 {{custNm||고객}}님, 입장할 순서에요!",(광고) 상품별 최대 🔻40% 쿠폰할인 혜택!오늘 할인 기회를 놓치면 구매가 어려울 수 있으니꼭! 쿠폰 받기 버튼 확인해 보세요 👉 (수신거부:앱설정),"29,799",1.36%,3.39%
2025. 6. 13,18:30,푸시,골드 상위,기타,결제금액 상위,안내,단순 안내,"🔔 {{custNm||고객}}님, 입장할 순서에요!",(광고) 지금 알림 수신한 「{{custNm||고객}}님만」  입장 가능합니다. 다시 또 보기 힘든 할인 특가 상품들을 클릭 한 번으로 확인해 보세요 👉(수신거부:앱설정),"15,940",2.21%,4.96%
2025. 6. 13,11:15,푸시,외부고객,등급/혜택,퍼스널쇼,안내,30% 할인,🚨 지금 이 알림 수신한 {{custNm||고객}}님만 입장 가능!,(광고) 빈폴 레이디스 인기상품 🔻30% 할인 방송!방송에서만 받을 수 있는 최대 혜택!😱 할인쿠폰에 사은품까지지금 클릭하고 바로 확인해 보세요 👉(수신거부:앱설정),"3,370",1.63%,2.11%
2025. 6. 13,19:30,푸시,골드 하위,패션의류,전월구매,안내,단순 안내,💌 캐시미어 특유의 편안함과 고급짐이 있네요,(광고) 고비 제품이라 믿고 구매해 봅니다. 도착 후 입어보니 부드럽고 여름에도 아주 시원하게 잘 입을 것 같아요. 스퀘어라인이 시원하고 얼굴도 갸름해 보이게 해주는 것 같아 이너탑으로 최강입니다!(수신거부:앱설정),"73,971",1.07%,1.78%
